
1 明石信道　
明石	tfidf:0.0593803990651
棒二森屋	tfidf:0.0391806397324
信道	tfidf:0.0347900664086
設計	tfidf:0.0244804499889
デザイン	tfidf:0.021336715558
荻野清	tfidf:0.019793466355
明石家	tfidf:0.019793466355
モダン	tfidf:0.0182859197194
棒	tfidf:0.0173950332043
武蔵野	tfidf:0.0159920397507
堀川	tfidf:0.0149966000536
規模	tfidf:0.0149966000536
荻野	tfidf:0.0149966000536
建築家	tfidf:0.0135936065999
百貨店	tfidf:0.0130602132441
建築	tfidf:0.0122128855361
竣工	tfidf:0.0118260438879
道立	tfidf:0.0118260438879
創業	tfidf:0.0118260438879
国内	tfidf:0.0111951734492
早稲田大学	tfidf:0.0104230504343
アドバイス	tfidf:0.00989673317752
山梨	tfidf:0.00989673317752
理工学部	tfidf:0.00989673317752
アールデコ	tfidf:0.00989673317752
建築雑誌	tfidf:0.00989673317752
大恐慌	tfidf:0.00989673317752
北側	tfidf:0.00989673317752
東京新宿	tfidf:0.00989673317752
建築学会	tfidf:0.00989673317752
千代田	tfidf:0.00989673317752
洋品店	tfidf:0.00989673317752
建築学科	tfidf:0.00989673317752
増改築	tfidf:0.00989673317752
実証	tfidf:0.00989673317752
新宿武蔵野館	tfidf:0.00989673317752
BONIMORIYA	tfidf:0.00989673317752
新宿区役所	tfidf:0.00989673317752
伯母	tfidf:0.00989673317752
新館	tfidf:0.00989673317752
山梨県庁	tfidf:0.00989673317752
レタリング	tfidf:0.00989673317752
影響	tfidf:0.00925878663974
仕事	tfidf:0.009182014142
六	tfidf:0.00909781772751
重臣	tfidf:0.00869751660216
掘削	tfidf:0.00869751660216
本願寺派	tfidf:0.00869751660216
大々的	tfidf:0.00869751660216
定年退職	tfidf:0.00869751660216
スタイル	tfidf:0.00869751660216
真宗	tfidf:0.00869751660216
鳴かず飛ばず	tfidf:0.00869751660216
大規模	tfidf:0.00869751660216
名跡	tfidf:0.00869751660216
46年間	tfidf:0.00869751660216
外壁	tfidf:0.00869751660216
名家	tfidf:0.00869751660216
思い出	tfidf:0.00869751660216
専任	tfidf:0.00869751660216
1階	tfidf:0.00799601987533
別館	tfidf:0.00799601987533
6度	tfidf:0.00799601987533
英国人	tfidf:0.00799601987533
設計事務所	tfidf:0.00799601987533
僧侶	tfidf:0.00799601987533
新川小学校	tfidf:0.00799601987533
出会い	tfidf:0.00799601987533
現在地	tfidf:0.00799601987533
名誉教授	tfidf:0.00799601987533
帝国ホテル	tfidf:0.00799601987533
ジョン・ミル	tfidf:0.0074983000268
トネ	tfidf:0.0074983000268
寺川	tfidf:0.0074983000268
森屋	tfidf:0.0074983000268
一期	tfidf:0.0074983000268
自営	tfidf:0.0074983000268
世界	tfidf:0.00749122392774
担当	tfidf:0.00739374684481
社長	tfidf:0.0071167824584
教職	tfidf:0.00711223851933
地震	tfidf:0.00711223851933
川乗	tfidf:0.00711223851933
57年	tfidf:0.00711223851933
ン	tfidf:0.00679680329996
経	tfidf:0.00679680329996
金森	tfidf:0.00679680329996
澗	tfidf:0.00679680329996
一番	tfidf:0.00679680329996
あまり	tfidf:0.00679680329996
専攻	tfidf:0.00679680329996
3年後	tfidf:0.00679680329996
注文	tfidf:0.00679680329996
昭和61年	tfidf:0.00679680329996
卒業後	tfidf:0.00677893308275
旧家	tfidf:0.00653010662206
23歳	tfidf:0.00653010662206
母方	tfidf:0.00653010662206
49年	tfidf:0.00629908345143
若松町	tfidf:0.00629908345143
着工	tfidf:0.00629908345143
世紀	tfidf:0.00629908345143
旧姓	tfidf:0.00629908345143
松前藩	tfidf:0.00629908345143
館	tfidf:0.00612134276134
呉服店	tfidf:0.00609530657313
47年	tfidf:0.00609530657313
学園	tfidf:0.00609530657313
老舗	tfidf:0.00609530657313
公会堂	tfidf:0.00591302194397
全て	tfidf:0.00591302194397
前後	tfidf:0.00591302194397
41年	tfidf:0.00591302194397
昭和15年	tfidf:0.00591302194397
劇場	tfidf:0.00591302194397
孫	tfidf:0.00591302194397
デパート	tfidf:0.00591302194397
屈指	tfidf:0.00574812543912
乗	tfidf:0.00574812543912
願	tfidf:0.00574812543912
映画館	tfidf:0.0055975867246
学者	tfidf:0.0055975867246
女子	tfidf:0.0055975867246
デビュー	tfidf:0.0055975867246
帰郷	tfidf:0.0055975867246
堀	tfidf:0.0055975867246
36年	tfidf:0.00545910453139
進出	tfidf:0.00545910453139
拡張	tfidf:0.00545910453139
青柳町	tfidf:0.00545910453139
二	tfidf:0.00534921974641
昭和29年	tfidf:0.0053308900467
明治23年	tfidf:0.0053308900467
建物	tfidf:0.0053308900467
31年	tfidf:0.0053308900467
函館中学校	tfidf:0.00521152521714
合併	tfidf:0.00509986687607
中部高等学校	tfidf:0.00509986687607
類	tfidf:0.00509986687607
夏	tfidf:0.00499497998711
姓	tfidf:0.00499497998711
工事	tfidf:0.0047138053686
もの	tfidf:0.00467143708133
昭和6年	tfidf:0.00462939331987
明治2年	tfidf:0.00447200270014
昭和11年	tfidf:0.00439837014924
代表	tfidf:0.00432774386114
商店	tfidf:0.00432774386114
30年	tfidf:0.00425988795603
店舗	tfidf:0.00425988795603
この間	tfidf:0.00413167347134
明治34年	tfidf:0.00401230864177
的	tfidf:0.00399987399702
五	tfidf:0.0039555788445
末広町	tfidf:0.0039555788445
昭和3年	tfidf:0.0039555788445
他	tfidf:0.00390065030071
卒業	tfidf:0.00385862142083
紹介	tfidf:0.00379576341175
大正8年	tfidf:0.00379576341175
9月	tfidf:0.0036033315171
の	tfidf:0.00351325255894
発展	tfidf:0.00338946654137
養子	tfidf:0.00338946654137
際	tfidf:0.00334969228839
賞	tfidf:0.00334969228839
7月	tfidf:0.00327278612477
男	tfidf:0.00323557815726
尽力	tfidf:0.00319915357387
手	tfidf:0.0031634800666
結婚	tfidf:0.0031634800666
研究	tfidf:0.00312852728578
町	tfidf:0.00287174527
上京	tfidf:0.00284217012578
初代	tfidf:0.00275636226914
受賞	tfidf:0.00254639538851
生涯	tfidf:0.00182849945068
生まれる。	tfidf:0.00174875705068
家	tfidf:0.00164295355042
翌年	tfidf:0.00161387549105
当時	tfidf:0.00155714569378
これ	tfidf:0.00151578666116
東京	tfidf:0.00150221714998
函館	tfidf:0.0012816413878
ため	tfidf:0.000951259137663
時	tfidf:0.000922017250461
こと	tfidf:0.000604971883183
	tfidf:0.0


2 秋山 富雄　　
ギター	tfidf:0.0867999642483
演奏	tfidf:0.038015555961
秋山	tfidf:0.0329226577071
